sample,edit,direction,score_orig,score_edit,delta
14,+length_ctrl,prism_meandiff,8.4231,4.8635,-3.5596
14,+length_ctrl,true_head,-6.6493,-8.1448,-1.4955
15,+factuality,prism_meandiff,10.3563,9.3704,-0.9858
15,+factuality,true_head,-1.4542,-2.0387,-0.5845
15,+helpfulness,prism_meandiff,10.3563,5.7183,-4.6379
15,+helpfulness,true_head,-1.4542,-1.754,-0.2998
15,+formatting,prism_meandiff,10.3563,7.3635,-2.9928
15,+formatting,true_head,-1.4542,-1.0677,0.3865
15,-sycophancy,prism_meandiff,10.3563,2.2507,-8.1055
15,-sycophancy,true_head,-1.4542,-12.8421,-11.3879
15,+length_ctrl,prism_meandiff,10.3563,10.1507,-0.2055
15,+length_ctrl,true_head,-1.4542,2.2382,3.6924
16,+factuality,prism_meandiff,5.6808,3.3514,-2.3294
16,+factuality,true_head,-7.2777,-10.4874,-3.2096
16,+helpfulness,prism_meandiff,5.6808,0.2563,-5.4245
16,+helpfulness,true_head,-7.2777,-14.5056,-7.2279
16,+formatting,prism_meandiff,5.6808,2.4558,-3.225
16,+formatting,true_head,-7.2777,-8.2102,-0.9325
16,-sycophancy,prism_meandiff,5.6808,0.3139,-5.3669
16,-sycophancy,true_head,-7.2777,-12.6578,-5.3801
16,+length_ctrl,prism_meandiff,5.6808,7.6205,1.9397
16,+length_ctrl,true_head,-7.2777,-1.7981,5.4796
17,+factuality,prism_meandiff,6.1586,5.772,-0.3865
17,+factuality,true_head,-6.6902,-7.0487,-0.3585
17,+helpfulness,prism_meandiff,6.1586,5.7804,-0.3782
17,+helpfulness,true_head,-6.6902,-6.9214,-0.2312
17,+formatting,prism_meandiff,6.1586,0.0467,-6.1119
17,+formatting,true_head,-6.6902,-11.1764,-4.4862
17,-sycophancy,prism_meandiff,6.1586,-5.7899,-11.9484
17,-sycophancy,true_head,-6.6902,-24.2702,-17.58
17,+length_ctrl,prism_meandiff,6.1586,4.3828,-1.7757
17,+length_ctrl,true_head,-6.6902,-8.8839,-2.1936
18,+factuality,prism_meandiff,-1.3316,-5.7398,-4.4083
18,+factuality,true_head,-13.9242,-17.8127,-3.8886
18,+helpfulness,prism_meandiff,-1.3316,0.6411,1.9727
18,+helpfulness,true_head,-13.9242,-11.3945,2.5297
18,+formatting,prism_meandiff,-1.3316,-6.2742,-4.9426
18,+formatting,true_head,-13.9242,-17.2634,-3.3392
18,-sycophancy,prism_meandiff,-1.3316,-4.2102,-2.8786
18,-sycophancy,true_head,-13.9242,-21.1063,-7.1821
18,+length_ctrl,prism_meandiff,-1.3316,-2.4544,-1.1228
18,+length_ctrl,true_head,-13.9242,-18.0541,-4.13
19,+factuality,prism_meandiff,5.2939,5.2063,-0.0876
19,+factuality,true_head,-10.6896,-10.0548,0.6348
19,+helpfulness,prism_meandiff,5.2939,4.1577,-1.1362
19,+helpfulness,true_head,-10.6896,-7.7112,2.9785
19,+formatting,prism_meandiff,5.2939,2.9678,-2.3261
19,+formatting,true_head,-10.6896,-11.5646,-0.875
19,-sycophancy,prism_meandiff,5.2939,1.5543,-3.7396
19,-sycophancy,true_head,-10.6896,-13.7689,-3.0793
19,+length_ctrl,prism_meandiff,5.2939,3.9396,-1.3543
19,+length_ctrl,true_head,-10.6896,-10.4192,0.2704
20,+factuality,prism_meandiff,-12.98,-13.6769,-0.6969
20,+factuality,true_head,-29.323,-30.8277,-1.5047
20,+helpfulness,prism_meandiff,-12.98,-0.7712,12.2088
20,+helpfulness,true_head,-29.323,-15.7015,13.6215
20,+formatting,prism_meandiff,-12.98,-18.2394,-5.2594
20,+formatting,true_head,-29.323,-32.5935,-3.2705
20,-sycophancy,prism_meandiff,-12.98,-13.7203,-0.7403
20,-sycophancy,true_head,-29.323,-32.9898,-3.6669
20,+length_ctrl,prism_meandiff,-12.98,-10.8989,2.0811
20,+length_ctrl,true_head,-29.323,-25.431,3.892
21,+factuality,prism_meandiff,3.0673,2.9262,-0.1412
21,+factuality,true_head,-11.4283,-11.5702,-0.1419
21,+helpfulness,prism_meandiff,3.0673,6.31,3.2426
21,+helpfulness,true_head,-11.4283,-8.5908,2.8375
21,+formatting,prism_meandiff,3.0673,1.2702,-1.7971
21,+formatting,true_head,-11.4283,-12.31,-0.8817
21,-sycophancy,prism_meandiff,3.0673,-0.776,-3.8434
21,-sycophancy,true_head,-11.4283,-16.8976,-5.4693
21,+length_ctrl,prism_meandiff,3.0673,2.8512,-0.2161
21,+length_ctrl,true_head,-11.4283,-9.5138,1.9145
22,+factuality,prism_meandiff,-2.2382,1.7521,3.9903
22,+factuality,true_head,-15.4764,-13.345,2.1314
22,+helpfulness,prism_meandiff,-2.2382,0.4256,2.6638
22,+helpfulness,true_head,-15.4764,-18.1863,-2.7099
22,+formatting,prism_meandiff,-2.2382,-0.4971,1.7411
22,+formatting,true_head,-15.4764,-13.7288,1.7476
22,-sycophancy,prism_meandiff,-2.2382,-2.6434,-0.4051
22,-sycophancy,true_head,-15.4764,-20.3058,-4.8294
22,+length_ctrl,prism_meandiff,-2.2382,2.1627,4.4009
22,+length_ctrl,true_head,-15.4764,-14.3456,1.1308
23,+factuality,prism_meandiff,6.6823,6.0832,-0.5991
23,+factuality,true_head,-9.7063,-9.4029,0.3034
23,+helpfulness,prism_meandiff,6.6823,7.0401,0.3578
23,+helpfulness,true_head,-9.7063,-2.2068,7.4995
23,+formatting,prism_meandiff,6.6823,1.5589,-5.1234
23,+formatting,true_head,-9.7063,-9.3738,0.3325
23,-sycophancy,prism_meandiff,6.6823,-7.19,-13.8723
23,-sycophancy,true_head,-9.7063,-32.0373,-22.331
23,+length_ctrl,prism_meandiff,6.6823,5.4375,-1.2448
23,+length_ctrl,true_head,-9.7063,-9.1157,0.5906
24,+factuality,prism_meandiff,10.6327,10.6327,0.0
24,+factuality,true_head,2.9027,2.9027,0.0
24,+helpfulness,prism_meandiff,10.6327,-7.6379,-18.2707
24,+helpfulness,true_head,2.9027,-31.2999,-34.2027
24,+formatting,prism_meandiff,10.6327,4.3877,-6.245
24,+formatting,true_head,2.9027,-1.4127,-4.3154
24,-sycophancy,prism_meandiff,10.6327,-5.1781,-15.8108
24,-sycophancy,true_head,2.9027,-20.5638,-23.4665
24,+length_ctrl,prism_meandiff,10.6327,-11.4439,-22.0766
24,+length_ctrl,true_head,2.9027,-29.6612,-32.5639
25,+factuality,prism_meandiff,2.4939,6.1533,3.6594
25,+factuality,true_head,-7.6326,-2.1783,5.4543
25,+helpfulness,prism_meandiff,2.4939,-3.6205,-6.1144
25,+helpfulness,true_head,-7.6326,-18.899,-11.2665
25,+formatting,prism_meandiff,2.4939,1.2049,-1.289
25,+formatting,true_head,-7.6326,-4.1533,3.4792
25,-sycophancy,prism_meandiff,2.4939,-0.8287,-3.3227
25,-sycophancy,true_head,-7.6326,-10.9637,-3.3311
25,+length_ctrl,prism_meandiff,2.4939,-1.2559,-3.7498
25,+length_ctrl,true_head,-7.6326,-13.1661,-5.5335
26,+factuality,prism_meandiff,8.6411,8.6411,0.0
26,+factuality,true_head,-0.1702,-0.1702,0.0
26,+helpfulness,prism_meandiff,8.6411,8.9661,0.3251
26,+helpfulness,true_head,-0.1702,0.1434,0.3136
26,+formatting,prism_meandiff,8.6411,8.6411,0.0
26,+formatting,true_head,-0.1702,-0.1702,0.0
26,-sycophancy,prism_meandiff,8.6411,4.2328,-4.4083
26,-sycophancy,true_head,-0.1702,-5.1484,-4.9782
26,+length_ctrl,prism_meandiff,8.6411,5.7215,-2.9195
26,+length_ctrl,true_head,-0.1702,-3.0836,-2.9134
27,+factuality,prism_meandiff,1.8775,6.2361,4.3585
27,+factuality,true_head,-10.7601,-3.3443,7.4158
27,+helpfulness,prism_meandiff,1.8775,-0.1144,-1.992
27,+helpfulness,true_head,-10.7601,-9.3369,1.4232
27,+formatting,prism_meandiff,1.8775,0.0209,-1.8566
27,+formatting,true_head,-10.7601,-9.5811,1.179
27,-sycophancy,prism_meandiff,1.8775,-1.4906,-3.3682
27,-sycophancy,true_head,-10.7601,-11.4767,-0.7167
27,+length_ctrl,prism_meandiff,1.8775,-1.3005,-3.1781
27,+length_ctrl,true_head,-10.7601,-11.3149,-0.5548
28,+factuality,prism_meandiff,3.417,1.9361,-1.4809
28,+factuality,true_head,-6.0735,-6.5712,-0.4978
28,+helpfulness,prism_meandiff,3.417,4.3348,0.9178
28,+helpfulness,true_head,-6.0735,-3.3242,2.7493
28,+formatting,prism_meandiff,3.417,0.1523,-3.2646
28,+formatting,true_head,-6.0735,-8.2315,-2.158
28,-sycophancy,prism_meandiff,3.417,-0.2637,-3.6807
28,-sycophancy,true_head,-6.0735,-9.4375,-3.364
28,+length_ctrl,prism_meandiff,3.417,0.8476,-2.5694
28,+length_ctrl,true_head,-6.0735,-7.4077,-1.3342
29,+factuality,prism_meandiff,2.6302,2.7707,0.1405
29,+factuality,true_head,-8.8406,-7.1007,1.74
29,+helpfulness,prism_meandiff,2.6302,-7.7969,-10.4271
29,+helpfulness,true_head,-8.8406,-26.8871,-18.0465
29,+formatting,prism_meandiff,2.6302,-1.8696,-4.4998
29,+formatting,true_head,-8.8406,-10.8624,-2.0218
29,-sycophancy,prism_meandiff,2.6302,-2.8492,-5.4794
29,-sycophancy,true_head,-8.8406,-13.9753,-5.1347
29,+length_ctrl,prism_meandiff,2.6302,-0.0948,-2.725
29,+length_ctrl,true_head,-8.8406,-9.4567,-0.6161
30,+factuality,prism_meandiff,3.0205,5.1166,2.0961
30,+factuality,true_head,-8.0236,-3.8837,4.1399
30,+helpfulness,prism_meandiff,3.0205,-4.7887,-7.8092
30,+helpfulness,true_head,-8.0236,-17.0944,-9.0708
30,+formatting,prism_meandiff,3.0205,-2.0256,-5.0461
30,+formatting,true_head,-8.0236,-8.901,-0.8774
30,-sycophancy,prism_meandiff,3.0205,-2.7019,-5.7224
30,-sycophancy,true_head,-8.0236,-13.2742,-5.2506
30,+length_ctrl,prism_meandiff,3.0205,-0.8616,-3.8821
30,+length_ctrl,true_head,-8.0236,-10.7439,-2.7203
31,+factuality,prism_meandiff,-4.3023,-2.7208,1.5815
31,+factuality,true_head,-23.0009,-20.1141,2.8869
31,+helpfulness,prism_meandiff,-4.3023,-3.8407,0.4616
31,+helpfulness,true_head,-23.0009,-23.3617,-0.3608
31,+formatting,prism_meandiff,-4.3023,-7.2052,-2.903
31,+formatting,true_head,-23.0009,-21.17,1.8309
31,-sycophancy,prism_meandiff,-4.3023,-11.2643,-6.962
31,-sycophancy,true_head,-23.0009,-36.8246,-13.8237
31,+length_ctrl,prism_meandiff,-4.3023,-5.1228,-0.8206
31,+length_ctrl,true_head,-23.0009,-23.0595,-0.0586
32,+factuality,prism_meandiff,8.5873,6.9407,-1.6466
32,+factuality,true_head,-4.5202,-4.9975,-0.4772
32,+helpfulness,prism_meandiff,8.5873,10.0139,1.4266
32,+helpfulness,true_head,-4.5202,2.2634,6.7837
32,+formatting,prism_meandiff,8.5873,5.3128,-3.2745
32,+formatting,true_head,-4.5202,-5.7688,-1.2486
32,-sycophancy,prism_meandiff,8.5873,-2.9227,-11.5099
32,-sycophancy,true_head,-4.5202,-21.0871,-16.5668
32,+length_ctrl,prism_meandiff,8.5873,5.5457,-3.0416
32,+length_ctrl,true_head,-4.5202,-5.4651,-0.9448
33,+factuality,prism_meandiff,12.5277,12.038,-0.4897
33,+factuality,true_head,3.8564,3.6383,-0.2181
33,+helpfulness,prism_meandiff,12.5277,10.9541,-1.5736
33,+helpfulness,true_head,3.8564,4.5658,0.7094
33,+formatting,prism_meandiff,12.5277,9.1294,-3.3983
33,+formatting,true_head,3.8564,3.5261,-0.3303
33,-sycophancy,prism_meandiff,12.5277,-5.1668,-17.6945
33,-sycophancy,true_head,3.8564,-24.5048,-28.3611
33,+length_ctrl,prism_meandiff,12.5277,6.4826,-6.0451
33,+length_ctrl,true_head,3.8564,-2.2026,-6.059
34,+factuality,prism_meandiff,5.076,3.3802,-1.6958
34,+factuality,true_head,-12.7806,-16.737,-3.9565
34,+helpfulness,prism_meandiff,5.076,2.4351,-2.6409
34,+helpfulness,true_head,-12.7806,-11.8261,0.9545
34,+formatting,prism_meandiff,5.076,1.4006,-3.6755
34,+formatting,true_head,-12.7806,-10.7624,2.0181
34,-sycophancy,prism_meandiff,5.076,-4.3555,-9.4316
34,-sycophancy,true_head,-12.7806,-22.5416,-9.761
34,+length_ctrl,prism_meandiff,5.076,1.0057,-4.0704
34,+length_ctrl,true_head,-12.7806,-14.6099,-1.8293
35,+factuality,prism_meandiff,4.4854,4.9479,0.4625
35,+factuality,true_head,-14.9686,-14.5294,0.4392
35,+helpfulness,prism_meandiff,4.4854,4.6795,0.1942
35,+helpfulness,true_head,-14.9686,-8.5434,6.4253
35,+formatting,prism_meandiff,4.4854,-0.329,-4.8144
35,+formatting,true_head,-14.9686,-13.0931,1.8756
35,-sycophancy,prism_meandiff,4.4854,1.1652,-3.3201
35,-sycophancy,true_head,-14.9686,-18.1732,-3.2046
35,+length_ctrl,prism_meandiff,4.4854,4.3414,-0.144
35,+length_ctrl,true_head,-14.9686,-9.9712,4.9974
36,+factuality,prism_meandiff,7.5251,7.2427,-0.2824
36,+factuality,true_head,-4.0151,-4.6698,-0.6547
36,+formatting,prism_meandiff,7.5251,1.7773,-5.7478
36,+formatting,true_head,-4.0151,-7.1233,-3.1081
36,-sycophancy,prism_meandiff,7.5251,1.8515,-5.6736
36,-sycophancy,true_head,-4.0151,-12.3862,-8.371
36,+length_ctrl,prism_meandiff,7.5251,3.4215,-4.1036
36,+length_ctrl,true_head,-4.0151,-8.8142,-4.799
37,+factuality,prism_meandiff,-9.8944,-10.2758,-0.3813
37,+factuality,true_head,-27.702,-28.4989,-0.797
37,+helpfulness,prism_meandiff,-9.8944,-7.009,2.8855
37,+helpfulness,true_head,-27.702,-22.7144,4.9876
37,+formatting,prism_meandiff,-9.8944,-9.0429,0.8516
37,+formatting,true_head,-27.702,-25.2299,2.472
37,-sycophancy,prism_meandiff,-9.8944,-11.1199,-1.2255
37,-sycophancy,true_head,-27.702,-30.4518,-2.7498
37,+length_ctrl,prism_meandiff,-9.8944,-8.1977,1.6968
37,+length_ctrl,true_head,-27.702,-25.8116,1.8904
38,+factuality,prism_meandiff,4.4952,8.7856,4.2904
38,+factuality,true_head,-12.8252,-6.6268,6.1984
38,+helpfulness,prism_meandiff,4.4952,4.6534,0.1582
38,+helpfulness,true_head,-12.8252,-15.5285,-2.7033
38,+formatting,prism_meandiff,4.4952,0.1111,-4.3841
38,+formatting,true_head,-12.8252,-15.9409,-3.1158
38,-sycophancy,prism_meandiff,4.4952,-13.9925,-18.4877
38,-sycophancy,true_head,-12.8252,-38.1051,-25.2799
38,+length_ctrl,prism_meandiff,4.4952,-0.35,-4.8452
38,+length_ctrl,true_head,-12.8252,-15.3673,-2.5422
39,+factuality,prism_meandiff,-3.8585,-2.7059,1.1526
39,+factuality,true_head,-25.8533,-28.103,-2.2497
39,+helpfulness,prism_meandiff,-3.8585,-3.4109,0.4476
39,+helpfulness,true_head,-25.8533,-27.6377,-1.7844
39,+formatting,prism_meandiff,-3.8585,-13.9279,-10.0695
39,+formatting,true_head,-25.8533,-33.5833,-7.73
39,-sycophancy,prism_meandiff,-3.8585,-8.3556,-4.4971
39,-sycophancy,true_head,-25.8533,-32.4,-6.5467
39,+length_ctrl,prism_meandiff,-3.8585,-11.1064,-7.2479
39,+length_ctrl,true_head,-25.8533,-36.8603,-11.007
40,+factuality,prism_meandiff,6.3993,7.2495,0.8502
40,+factuality,true_head,-8.4621,-7.4548,1.0074
40,+helpfulness,prism_meandiff,6.3993,7.8934,1.4942
40,+helpfulness,true_head,-8.4621,-4.1825,4.2797
40,+formatting,prism_meandiff,6.3993,1.2456,-5.1537
40,+formatting,true_head,-8.4621,-12.3378,-3.8756
40,-sycophancy,prism_meandiff,6.3993,-0.254,-6.6532
40,-sycophancy,true_head,-8.4621,-16.5402,-8.0781
40,+length_ctrl,prism_meandiff,6.3993,3.1819,-3.2174
40,+length_ctrl,true_head,-8.4621,-10.7221,-2.26
41,+factuality,prism_meandiff,8.8895,7.947,-0.9425
41,+factuality,true_head,-0.6624,2.1551,2.8175
41,+helpfulness,prism_meandiff,8.8895,9.5973,0.7078
41,+helpfulness,true_head,-0.6624,2.0396,2.702
41,+formatting,prism_meandiff,8.8895,5.6571,-3.2324
41,+formatting,true_head,-0.6624,-1.9802,-1.3178
41,-sycophancy,prism_meandiff,8.8895,2.4984,-6.3911
41,-sycophancy,true_head,-0.6624,-11.1096,-10.4472
41,+length_ctrl,prism_meandiff,8.8895,5.8926,-2.9969
41,+length_ctrl,true_head,-0.6624,-2.4926,-1.8302
42,+factuality,prism_meandiff,9.5251,7.3454,-2.1797
42,+factuality,true_head,-1.2733,-1.1787,0.0946
42,+helpfulness,prism_meandiff,9.5251,8.5088,-1.0163
42,+helpfulness,true_head,-1.2733,-0.0001,1.2732
42,+formatting,prism_meandiff,9.5251,1.2528,-8.2723
42,+formatting,true_head,-1.2733,-6.1281,-4.8548
42,-sycophancy,prism_meandiff,9.5251,3.8748,-5.6503
42,-sycophancy,true_head,-1.2733,-9.5075,-8.2342
42,+length_ctrl,prism_meandiff,9.5251,5.8562,-3.6689
42,+length_ctrl,true_head,-1.2733,-3.2262,-1.9529
43,+factuality,prism_meandiff,8.4616,8.0016,-0.4599
43,+factuality,true_head,-2.4112,-2.5505,-0.1393
43,+helpfulness,prism_meandiff,8.4616,5.341,-3.1205
43,+helpfulness,true_head,-2.4112,-4.4562,-2.045
43,+formatting,prism_meandiff,8.4616,4.0426,-4.419
43,+formatting,true_head,-2.4112,-3.6055,-1.1943
43,-sycophancy,prism_meandiff,8.4616,7.0696,-1.392
43,-sycophancy,true_head,-2.4112,-1.4484,0.9629
43,+length_ctrl,prism_meandiff,8.4616,6.9247,-1.5369
43,+length_ctrl,true_head,-2.4112,-0.3999,2.0113
44,+factuality,prism_meandiff,-5.2783,1.8525,7.1309
44,+factuality,true_head,-16.9283,-14.033,2.8953
44,+helpfulness,prism_meandiff,-5.2783,-7.0754,-1.7971
44,+helpfulness,true_head,-16.9283,-30.4715,-13.5432
44,+formatting,prism_meandiff,-5.2783,-9.9626,-4.6843
44,+formatting,true_head,-16.9283,-22.6177,-5.6894
44,-sycophancy,prism_meandiff,-5.2783,-10.6486,-5.3702
44,-sycophancy,true_head,-16.9283,-29.4541,-12.5258
44,+length_ctrl,prism_meandiff,-5.2783,-5.426,-0.1476
44,+length_ctrl,true_head,-16.9283,-20.7847,-3.8564
45,+factuality,prism_meandiff,1.9717,6.5111,4.5394
45,+factuality,true_head,-6.2926,-0.1237,6.1689
